id	stopCount	streetCount	wkt	hadRemoved
12	0	2	POLYGON ((-2.486923256124253 43.12649226995718, -2.4868961119601214 43.126476711550204, -2.4868751041381065 43.12645352661785, -2.4868622890501975 43.12642498466284, -2.486858921126486 43.126393879570585, -2.486865330042811 43.12636325612425, -2.4868808884497895 43.12633611196012, -2.4869040733821444 43.1263151041381, -2.486932615337157 43.126302289050194, -2.486963720429409 43.126298921126484, -2.486994343875747 43.12630533004281, -2.4877556438757473 43.12659483004281, -2.487782788039879 43.12661038844979, -2.4878037958618937 43.12663357338214, -2.4878166109498028 43.126662115337155, -2.4878199788735142 43.12669322042941, -2.487813569957189 43.126723843875745, -2.4877980115502107 43.12675098803987, -2.487774826617856 43.126771995861894, -2.487746284662843 43.1267848109498, -2.4877151795705914 43.12678817887351, -2.487684556124253 43.126781769957184, -2.486923256124253 43.12649226995718))	true
13	0	2	POLYGON ((-2.3851975967202854 43.306409473903514, -2.3851665364587507 43.306413232869794, -2.385135834810159 43.30640720971051, -2.3851084970657848 43.30639199401444, -2.3850871992345217 43.30636907519995, -2.3850740260964836 43.306340696720284, -2.385070267130205 43.30630963645875, -2.385076290289495 43.30627893481016, -2.3850915059855566 43.30625159706578, -2.3851144248000455 43.30623029923452, -2.385142803279715 43.306217126096485, -2.3851765032797148 43.306207526096486, -2.3852075635412495 43.30620376713021, -2.3852382651898414 43.30620979028949, -2.3852656029342154 43.30622500598556, -2.3852869007654784 43.30624792480005, -2.3853000739035166 43.306276303279716, -2.3853038328697953 43.30630736354125, -2.3852978097105053 43.30633806518984, -2.3852825940144435 43.30636540293422, -2.3852596751999546 43.30638670076548, -2.3852312967202853 43.306399873903516, -2.3851975967202854 43.306409473903514))	true
14	0	2	POLYGON ((-1.7116133539627814 43.28188080879404, -1.7115957489199927 43.28185494507152, -1.711586997859125 43.28182490695228, -1.7115879573949881 43.281793634776704, -1.7115985336015263 43.28176418968324, -1.7116176912059546 43.28173945396278, -1.711643554928473 43.28172184891999, -1.7116735930477183 43.281713097859125, -1.7117048652232905 43.281714057394986, -1.7117343103167588 43.28172463360153, -1.7117590460372185 43.281743791205955, -1.7211036460372187 43.29167999120595, -1.7211212510800074 43.29170585492847, -1.721130002140875 43.291735893047715, -1.7211290426050119 43.29176716522329, -1.7211184663984738 43.29179661031676, -1.7210993087940454 43.29182134603722, -1.721073445071527 43.29183895108, -1.7210434069522818 43.29184770214087, -1.7210121347767096 43.29184674260501, -1.7209826896832412 43.29183616639847, -1.7209579539627815 43.29181700879404, -1.7116133539627814 43.28188080879404))	true
15	0	6	POLYGON ((-1.9553197 43.3194311, -1.95573 43.3196087, -1.9552849 43.3197609, -1.9552848 43.3195365, -1.9553197 43.3194311))	true
16	1	34	POLYGON ((-2.3819271 43.2259569, -2.3977608 43.2270479, -2.3998671 43.2294612, -2.39989895847 43.2295769726, -2.394271 43.2435372, -2.3913136 43.2428092, -2.3817087 43.2380489, -2.3619753 43.227323, -2.3819271 43.2259569))	false
17	0	2	POLYGON ((-1.7808203513634295 43.367774696194274, -1.78085163799299 43.36777456780095, -1.7808814330216272 43.36778411379186, -1.7809068199043439 43.36780239973893, -1.7809253135961793 43.36782763568623, -1.7809351038057233 43.36785735136343, -1.780935232199053 43.36788863799299, -1.780925686208135 43.36791843302163, -1.7809074002610714 43.36794381990435, -1.7808821643137662 43.36796231359618, -1.7808524486365707 43.36797210380573, -1.7775909486365706 43.36850240380573, -1.7775596620070102 43.36850253219905, -1.777529866978373 43.36849298620814, -1.7775044800956563 43.368474700261075, -1.7774859864038208 43.36844946431377, -1.7774761961942769 43.36841974863657, -1.7774760678009471 43.36838846200701, -1.777485613791865 43.368358666978374, -1.7775038997389287 43.368333280095655, -1.777529135686234 43.36831478640382, -1.7775588513634295 43.368304996194276, -1.7808203513634295 43.367774696194274))	true
18	0	2	POLYGON ((-2.640186288609754 43.246995117865566, -2.64021703754839 43.24698934097654, -2.6402480666837334 43.24699334877318, -2.640276338667824 43.247006748944436, -2.6402990860418774 43.24702822978818, -2.6403140821344295 43.247055688609755, -2.6403198590234584 43.24708643754839, -2.640315851226816 43.24711746668373, -2.640302451055561 43.247145738667825, -2.6402809702118204 43.24716848604188, -2.640253511390246 43.24718348213443, -2.593002711390246 43.264046182134436, -2.59297196245161 43.26405195902346, -2.5929409333162665 43.26404795122682, -2.592912661332176 43.264034551055566, -2.5928899139581225 43.264013070211824, -2.5928749178655703 43.26398561139025, -2.5928691409765414 43.26395486245161, -2.592873148773184 43.26392383331627, -2.592886548944439 43.26389556133218, -2.5929080297881795 43.26387281395812, -2.5929354886097538 43.26385781786557, -2.640186288609754 43.246995117865566))	true
19	1	5	POLYGON ((-1.9470455 43.3167673, -1.9469607622531653 43.31741993766703, -1.9468229 43.3174039, -1.9470375 43.3167716, -1.9470455 43.3167673))	true
20	0	14	POLYGON ((-2.2507861 43.295632, -2.2532461 43.2959124, -2.2536046 43.2961012, -2.2544554 43.2967665, -2.2544092 43.2967944, -2.2519876 43.2965988, -2.2508613 43.2959333, -2.2507861 43.295632))	true
21	0	2	POLYGON ((-2.0964731401518573 43.09801558938148, -2.096503108046373 43.09800660077912, -2.096534386838617 43.09800731269897, -2.0965639147424717 43.09801765545334, -2.096588801360976 43.09803661662138, -2.0966066106185144 43.098062340151856, -2.096615599220875 43.09809230804637, -2.0966148873010315 43.09812358683862, -2.0966045445466586 43.09815311474247, -2.0965855833786162 43.09817800136097, -2.0965598598481425 43.09819581061851, -2.096272859848143 43.098333910618514, -2.096242891953627 43.098342899220874, -2.0962116131613833 43.09834218730103, -2.0961820852575284 43.09833184454666, -2.096157198639024 43.09831288337862, -2.0961393893814857 43.09828715984814, -2.096130400779125 43.09825719195363, -2.0961311126989686 43.09822591316138, -2.0961414554533415 43.09819638525752, -2.096160416621384 43.098171498639026, -2.0961861401518576 43.09815368938148, -2.0964731401518573 43.09801558938148))	true
